Frequency (Hz)	Level (dB)
12004.760742	-130.379333
12015.527344	-130.859421
12026.293945	-129.765594
12037.060547	-129.957184
12047.827148	-131.684387
12058.593750	-130.412918
12069.360352	-129.329376
12080.126953	-129.462906
12090.893555	-128.859909
12101.660156	-129.301468
12112.426758	-129.567657
12123.193359	-127.367645
12133.959961	-128.101685
12144.726562	-129.417419
12155.493164	-128.295731
12166.259766	-129.669724
12177.026367	-130.433243
12187.792969	-129.252747
12198.559570	-130.011124
12209.326172	-130.081360
12220.092773	-129.847397
12230.859375	-129.170120
12241.625977	-129.281967
12252.392578	-129.815765
12263.159180	-129.651123
12273.925781	-130.319229
12284.692383	-130.271484
12295.458984	-129.807648
12306.225586	-129.487534
12316.992188	-129.645966
12327.758789	-130.768509
12338.525391	-131.412460
12349.291992	-130.819611
12360.058594	-130.675217
12370.825195	-129.582733
12381.591797	-130.615189
12392.358398	-130.594574
12403.125000	-130.496689
12413.891602	-130.023605
12424.658203	-129.808502
12435.424805	-129.036850
12446.191406	-129.234375
12456.958008	-128.849396
12467.724609	-128.612503
12478.491211	-129.980789
12489.257812	-129.203903
12500.024414	-129.455612
12510.791016	-130.550400
12521.557617	-130.597778
12532.324219	-130.284927
